"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"406 DOWN","13.097945","77.39438","0"
"406 UP","13.09766","77.59166","0"
"406 DOWN","13.09795","77.39442","1"
"406 UP","13.10004","77.58891","1"
"406 DOWN","13.098","77.39447","2"
"406 UP","13.10128","77.58736","2"
"406 DOWN","13.09821","77.39458","3"
"406 UP","13.10217","77.58627","3"
"406 DOWN","13.09829","77.39411","4"
"406 UP","13.10324","77.5849","4"
"406 DOWN","13.09834","77.39363","5"
"406 UP","13.10449","77.58358","5"
"406 DOWN","13.09845","77.39292","6"
"406 UP","13.10535","77.58278","6"
"406 DOWN","13.09853","77.39266","7"
"406 UP","13.105727","77.58242","7"
"406 DOWN","13.0986","77.39249","8"
"406 UP","13.10662","77.58162","8"
"406 DOWN","13.09867","77.39236","9"
"406 UP","13.10696","77.58134","9"
"406 DOWN","13.09892","77.39197","10"
"406 UP","13.10736","77.58105","10"
"406 DOWN","13.099","77.39187","11"
"406 UP","13.10763","77.58092","11"
"406 DOWN","13.0991","77.39178","12"
"406 UP","13.10791","77.58082","12"
"406 DOWN","13.09958","77.3914","13"
"406 UP","13.10843","77.58066","13"
"406 DOWN","13.09982","77.39116","14"
"406 UP","13.10938","77.58039","14"
"406 DOWN","13.09982","77.39111","15"
"406 UP","13.10988","77.58022","15"
"406 DOWN","13.09985","77.39107","16"
"406 UP","13.11006","77.58015","16"
"406 DOWN","13.09993","77.39106","17"
"406 UP","13.11024","77.58009","17"
"406 DOWN","13.09996","77.39108","18"
"406 UP","13.11153","77.57966","18"
"406 DOWN","13.10057","77.39066","19"
"406 UP","13.11197","77.57954","19"
"406 DOWN","13.10068","77.39057","20"
"406 UP","13.11229","77.57947","20"
"406 DOWN","13.10115","77.39011","21"
"406 UP","13.11284","77.57943","21"
"406 DOWN","13.10147","77.3897","22"
"406 UP","13.11372","77.57939","22"
"406 DOWN","13.10215","77.38865","23"
"406 UP","13.11557","77.57859","23"
"406 DOWN","13.10224","77.3887","24"
"406 UP","13.11635","77.57829","24"
"406 DOWN","13.10242","77.38869","25"
"406 UP","13.11752","77.57778","25"
"406 DOWN","13.10264","77.3886","26"
"406 UP","13.11809","77.57755","26"
"406 DOWN","13.10307","77.3884","27"
"406 UP","13.11825","77.57748","27"
"406 DOWN","13.10357","77.38823","28"
"406 UP","13.119","77.57716","28"
"406 DOWN","13.10374","77.3882","29"
"406 UP","13.11964","77.5769","29"
"406 DOWN","13.10435","77.38817","30"
"406 UP","13.11985","77.57682","30"
"406 DOWN","13.10475","77.38822","31"
"406 UP","13.1211","77.57625","31"
"406 DOWN","13.105","77.38821","32"
"406 UP","13.12177","77.57597","32"
"406 DOWN","13.1058","77.38812","33"
"406 UP","13.12254","77.57563","33"
"406 DOWN","13.10812","77.38813","34"
"406 UP","13.12338","77.57519","34"
"406 DOWN","13.10931","77.38811","35"
"406 UP","13.12355","77.57508","35"
"406 DOWN","13.11073","77.38825","36"
"406 UP","13.12511","77.57422","36"
"406 DOWN","13.11102","77.38827","37"
"406 UP","13.12526","77.57413","37"
"406 DOWN","13.11209","77.38852","38"
"406 UP","13.12625","77.57356","38"
"406 DOWN","13.11239","77.38857","39"
"406 UP","13.12776","77.57262","39"
"406 DOWN","13.11281","77.38866","40"
"406 UP","13.12934","77.5717","40"
"406 DOWN","13.11317","77.38879","41"
"406 UP","13.13076","77.57094","41"
"406 DOWN","13.11412","77.38929","42"
"406 UP","13.13312","77.56989","42"
"406 DOWN","13.11443","77.38942","43"
"406 UP","13.13453","77.56933","43"
"406 DOWN","13.11764","77.39048","44"
"406 UP","13.13507","77.56917","44"
"406 DOWN","13.11796","77.39061","45"
"406 UP","13.13537","77.56911","45"
"406 DOWN","13.11814","77.39071","46"
"406 UP","13.13614","77.56892","46"
"406 DOWN","13.11927","77.39152","47"
"406 UP","13.13693","77.56881","47"
"406 DOWN","13.11985","77.39196","48"
"406 UP","13.13716","77.56879","48"
"406 DOWN","13.12191","77.39342","49"
"406 UP","13.13753","77.56882","49"
"406 DOWN","13.12267","77.39393","50"
"406 UP","13.13785","77.56888","50"
"406 DOWN","13.12373","77.39461","51"
"406 UP","13.13816","77.56897","51"
"406 DOWN","13.12481","77.39527","52"
"406 UP","13.13897","77.56915","52"
