"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign"
"47533","07:07:57","07:07:57","32484","39","NES Office"
"47533","07:10:44","07:10:44","30339","40","NES Office"
"47533","07:13:36","07:13:36","26198","41","NES Office"
"47533","07:15:43","07:15:43","26602","42","NES Office"
"47533","07:17:28","07:17:28","34337","43","NES Office"
"47534","07:57:57","07:57:57","32484","39","NES Office"
"47534","08:00:44","08:00:44","30339","40","NES Office"
"47534","08:03:36","08:03:36","26198","41","NES Office"
"47534","08:05:43","08:05:43","26602","42","NES Office"
"47534","08:07:28","08:07:28","34337","43","NES Office"
"47535","09:07:57","09:07:57","32484","39","NES Office"
"47535","09:10:44","09:10:44","30339","40","NES Office"
"47535","09:13:36","09:13:36","26198","41","NES Office"
"47535","09:15:43","09:15:43","26602","42","NES Office"
"47535","09:17:28","09:17:28","34337","43","NES Office"
"47536","11:07:57","11:07:57","32484","39","NES Office"
"47536","11:10:44","11:10:44","30339","40","NES Office"
"47536","11:13:36","11:13:36","26198","41","NES Office"
"47536","11:15:43","11:15:43","26602","42","NES Office"
"47536","11:17:28","11:17:28","34337","43","NES Office"
"47537","11:57:57","11:57:57","32484","39","NES Office"
"47537","12:00:44","12:00:44","30339","40","NES Office"
"47537","12:03:36","12:03:36","26198","41","NES Office"
"47537","12:05:43","12:05:43","26602","42","NES Office"
"47537","12:07:28","12:07:28","34337","43","NES Office"
"47538","13:02:57","13:02:57","32484","39","NES Office"
"47538","13:05:44","13:05:44","30339","40","NES Office"
"47538","13:08:36","13:08:36","26198","41","NES Office"
"47538","13:10:43","13:10:43","26602","42","NES Office"
"47538","13:12:28","13:12:28","34337","43","NES Office"
"47539","17:12:57","17:12:57","32484","39","NES Office"
"47539","17:15:44","17:15:44","30339","40","NES Office"
"47539","17:18:36","17:18:36","26198","41","NES Office"
"47539","17:20:43","17:20:43","26602","42","NES Office"
"47539","17:22:28","17:22:28","34337","43","NES Office"
"47530","08:32:01","08:32:01","34340","11","Nelamangala Bus Station"
"47530","08:33:39","08:33:39","34666","12","Nelamangala Bus Station"
"47530","08:35:42","08:35:42","33067","13","Nelamangala Bus Station"
"47530","08:38:27","08:38:27","32199","14","Nelamangala Bus Station"
"47530","08:41:09","08:41:09","24985","15","Nelamangala Bus Station"
"47531","10:32:01","10:32:01","34340","11","Nelamangala Bus Station"
"47531","10:33:39","10:33:39","34666","12","Nelamangala Bus Station"
"47531","10:35:42","10:35:42","33067","13","Nelamangala Bus Station"
"47531","10:38:27","10:38:27","32199","14","Nelamangala Bus Station"
"47531","10:41:09","10:41:09","24985","15","Nelamangala Bus Station"
"47532","14:02:01","14:02:01","34340","11","Nelamangala Bus Station"
"47532","14:03:39","14:03:39","34666","12","Nelamangala Bus Station"
"47532","14:05:42","14:05:42","33067","13","Nelamangala Bus Station"
"47532","14:08:27","14:08:27","32199","14","Nelamangala Bus Station"
"47532","14:11:09","14:11:09","24985","15","Nelamangala Bus Station"
